,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
468,1,0,4.0,73,4,0,250,300.0,4953
469,0,0,3.6,16,4,5,255,150.0,8242
470,0,0,3.6,8,4,0,230,250.0,8242
471,1,0,3.8,15,4,0,222,400.0,8242
472,0,0,3.6,46,4,84,1531,200.0,8242
473,1,0,3.3,13,4,44,1065,300.0,6992
474,1,0,3.3,9,4,37,1035,250.0,941
475,1,0,4.0,43,4,37,1058,250.0,1207
476,1,0,2.7,97,4,24,2238,400.0,8242
477,1,0,3.7,22,4,83,1522,250.0,5476
478,0,0,3.5,15,4,5,222,400.0,8242
479,1,0,3.6,27,4,37,1092,250.0,4677
480,1,0,3.9,888,1,24,1962,750.0,4467
481,1,1,4.0,349,1,24,2109,1200.0,1877
482,1,0,4.2,287,1,73,1585,350.0,8242
483,1,1,4.6,2556,1,26,2028,600.0,8242
484,1,1,4.2,354,1,24,190,800.0,1000
485,1,1,4.1,775,1,24,1894,800.0,8242
486,1,1,4.2,2115,1,24,2043,800.0,8242
487,0,1,3.8,977,1,57,1207,1300.0,8242
488,0,0,4.1,868,1,68,958,1200.0,8242
489,1,0,4.0,324,1,16,629,700.0,7262
490,1,0,4.1,787,1,24,816,800.0,8242
491,1,0,4.2,504,1,16,654,550.0,1456
492,1,0,4.1,402,1,16,475,500.0,5574
493,1,1,4.2,150,1,16,629,600.0,2289
494,1,1,4.2,164,1,16,532,500.0,3342
495,0,0,4.2,244,1,24,1356,800.0,8242
496,1,0,4.0,771,1,24,2224,450.0,7390
497,1,0,4.2,1647,1,24,845,600.0,8242
498,0,1,4.0,808,1,24,1649,850.0,8242
499,0,0,4.0,424,1,16,538,450.0,8242
500,1,0,3.9,135,1,24,1684,800.0,5957
501,0,0,3.9,28,1,62,2149,300.0,8242
502,1,0,3.8,918,1,19,653,800.0,8242
503,1,0,3.8,90,1,16,475,650.0,8242
504,1,0,3.9,519,1,24,771,900.0,8242
505,1,0,3.6,105,1,24,2364,700.0,8242
506,0,0,3.7,43,1,7,1649,700.0,8242
507,0,0,3.7,46,1,84,1531,400.0,8242
508,1,0,3.9,133,1,16,604,800.0,2121
509,1,0,3.8,144,1,16,720,700.0,8242
510,0,0,3.9,93,1,16,623,300.0,8242
511,1,0,3.8,42,1,73,2224,300.0,4753
512,1,0,2.5,247,1,24,1585,500.0,4664
513,1,0,3.1,13,1,16,532,400.0,4951
514,0,0,3.7,39,1,24,1649,450.0,8242
515,1,0,3.0,62,1,16,611,400.0,3956
516,1,0,3.8,160,1,24,1649,700.0,6616
517,0,0,3.5,14,1,83,1531,200.0,8242
518,0,0,3.8,42,1,24,1649,700.0,8242
519,1,0,3.1,119,1,24,336,700.0,8242
520,1,0,3.6,129,1,24,1491,600.0,2179
521,0,0,3.3,62,1,6,2224,800.0,8242
522,1,0,3.6,24,1,24,1649,600.0,8242
523,0,0,2.6,283,1,24,1585,600.0,8242
524,0,0,3.6,42,1,14,308,300.0,8242
525,0,0,3.4,10,1,73,1480,300.0,8242
526,0,0,3.7,39,1,24,1844,950.0,8242
527,1,0,3.8,59,1,24,1649,750.0,8242
528,1,0,3.5,179,1,24,1669,600.0,5854
529,0,0,3.8,62,1,73,2176,150.0,8242
530,0,0,3.4,6,1,24,866,500.0,8242
531,0,0,3.1,30,1,6,778,1000.0,8242
532,0,0,3.5,10,1,73,2160,300.0,8242
533,0,0,3.6,36,1,24,1571,500.0,8242
534,0,0,3.7,31,1,16,475,300.0,8242
535,0,0,3.2,11,1,16,496,600.0,8242
536,0,0,3.0,98,1,6,1649,800.0,8242
537,0,0,3.5,18,1,14,1394,150.0,8242
538,0,0,3.5,10,1,24,2224,500.0,8242
